pid,mu,sigma
556.0,807.21753197377461,301.22933526302791
557.0,755.64670891001731,304.56992189250496
558.0,742.76986436908942,205.45808554581888
559.0,1356.2097374806017,424.49721500103169
560.0,1141.3886168490646,373.57954590177911
561.0,1593.6891873029076,100.53086362919075
562.0,1245.6865268918855,369.51334528044117
563.0,1225.0466384062813,389.19323261334677
564.0,908.30945501878659,343.71200056171119
565.0,1619.135170565005,128.56631195859293
566.0,1217.1296498472807,387.58992751423239
567.0,781.7701508067945,264.99538525454682
568.0,1774.2993645958902,190.67845683384431
569.0,1101.9293885263983,333.44165344293685
570.0,817.39651442383683,313.29881808304708
571.0,1175.1836142687064,350.41534932624057
572.0,1574.8609026951231,348.1491736568592
573.0,1206.4673036824038,385.26963038994057
574.0,1658.9238235861278,90.290682900952277
575.0,882.06273300603914,278.42850582716505
576.0,1012.4311605683721,139.58194510986513
577.0,1249.9383666501924,211.7355224747275
578.0,438.338776968319,128.85280302414114
579.0,1500.0,500.0
580.0,895.79860739721175,264.16793232233704
581.0,829.44154171055106,200.24249817752155
582.0,478.13888434377924,231.43647518734758
583.0,991.87956824690423,379.02026847109482
584.0,1529.6604587691872,160.31288943987809
585.0,1147.0868102743952,185.19213781990896
586.0,1434.4474180934567,98.720857856228434
587.0,1545.7325244592878,93.261031293020551
588.0,1829.8652229409574,287.46460792308403
589.0,1209.14998739049,99.477118071769468
590.0,1228.8464954094197,152.27720058675277
591.0,865.19154769282829,194.43788372907741
592.0,802.54837125238839,254.45801299678544
593.0,1277.0009941448661,426.62022164250345
594.0,1794.9521855636408,402.71132611308769
595.0,577.86633893178669,167.10138026921021
596.0,1151.9454980091864,217.06248572368378
597.0,919.71030588605242,280.50758079081498
598.0,1149.696748661675,374.6871797234254
599.0,1244.1198352793881,370.85896606650442
600.0,780.84400588918538,278.31980243786853
601.0,1356.7819155912284,424.79536916003235
602.0,1298.7942445912404,152.03278955053509
603.0,1596.70963468935,112.75054910838983
604.0,1203.9976593926374,91.73846283050446
605.0,1111.2701113498729,204.40424569411621
606.0,643.61415429164435,240.57075319942092
607.0,932.7657298789876,198.71689228616688
608.0,1350.5481113709329,422.75442847636867
609.0,970.11973100790863,349.91190688284559
610.0,1187.0474562965678,176.86824344518578
611.0,745.69620947207522,145.9725243549814
612.0,1785.1298066685758,274.22419328953919
613.0,1626.0011160025692,419.96421458682346
614.0,1895.9748195613372,91.750464390791379
615.0,1235.3149792670238,391.52192610424243
616.0,2192.9783331308709,88.476288162856321
